,Date,NIFTY,SBI,CRUDE,VIX,USDINR,NIFTY_return_1d,NIFTY_return_7d,NIFTY_return_30d,NIFTY_MA_50,NIFTY_MA_200,RSI,VIX_lag1,VIX_lag7,CRUDE_lag7,TARGET
2102,2017-02-09,8778.400390625,252.25018310546875,53.0,13.239999771118164,66.96430206298828,0.0010663168924529565,0.025358367408022886,0.09925810232288756,8318.40595703125,8346.330998535157,73.1896945245565,13.350000381469728,16.829999923706055,52.810001373291016,1
2103,2017-02-10,8793.5498046875,252.70736694335935,53.86000061035156,13.18000030517578,66.74530029296875,0.0017257602055471555,0.008851063581874818,0.09469860607173541,8331.738955078124,8352.56649658203,83.16904171242476,13.239999771118164,13.970000267028809,53.880001068115234,1
2104,2017-02-13,8805.0498046875,248.40945434570312,52.93000030517578,13.6899995803833,66.84369659423828,0.001307776751758416,0.008105997044680402,0.0958573834819787,8344.996953125,8358.815744628906,82.36166196687988,13.18000030517578,13.520000457763672,53.540000915527344,1
2105,2017-02-14,8792.2998046875,247.08355712890625,53.20000076293945,13.800000190734863,66.91539764404297,-0.0014480326951941125,0.005874602672205631,0.08498688221676165,8356.35294921875,8364.420244140625,77.89035795792901,13.6899995803833,13.130000114440918,53.83000183105469,1
2106,2017-02-15,8724.7001953125,245.94049072265625,53.11000061035156,14.210000038146973,66.7759017944336,-0.007688501401983627,-0.008675057074933878,0.06583356586810307,8366.9889453125,8369.498994140626,62.0017953148817,13.800000190734863,13.399999618530272,53.0099983215332,1
2107,2017-02-16,8778.0,247.3578643798828,53.36000061035156,13.729999542236328,66.8655014038086,0.006109070053333943,0.0011062800689496388,0.07150050352467274,8380.81294921875,8374.136743164063,63.077374215069916,14.210000038146973,13.510000228881836,52.16999816894531,1
2108,2017-02-17,8821.7001953125,246.30625915527344,53.400001525878906,13.43000030517578,67.16480255126953,0.004978377228582742,0.006004115816157896,0.07706491609944455,8394.671953125,8378.671743164063,66.92951002987175,13.729999542236328,13.350000381469728,52.34000015258789,1
2109,2017-02-21,8907.849609375,247.54074096679688,54.060001373291016,13.529999732971191,66.96499633789062,0.009765624783788951,0.014746333385322385,0.0766334477090298,8409.965947265626,8383.637241210938,80.25319908950631,13.43000030517578,13.239999771118164,53.0,1
2110,2017-02-22,8926.900390625,249.00384521484372,53.59000015258789,13.699999809265137,66.96510314941406,0.0021386509747480797,0.01516459096716738,0.08286234529240777,8426.462958984375,8388.711494140625,74.10125676461381,13.529999732971191,13.18000030517578,53.86000061035156,1
2111,2017-02-23,8939.5,247.3121490478516,54.45000076293945,13.399999618530272,66.91429901123047,0.0014114204061503877,0.015269668916684909,0.08541111479342134,8440.315966796876,8393.912495117187,73.78611329911001,13.699999809265137,13.6899995803833,52.93000030517578,1
2112,2017-02-27,8896.7001953125,245.3003692626953,54.04999923706055,13.68000030517578,66.63500213623047,-0.004787717958219084,0.01187407082835601,0.07336590191299552,8453.014970703125,8399.120747070312,66.65601437015687,13.399999618530272,13.800000190734863,53.20000076293945,1
2113,2017-02-28,8879.599609375,246.1691131591797,54.0099983215332,13.789999961853027,66.69319915771484,-0.0019221268068030373,0.017754124565302787,0.05953585885269108,8467.190966796876,8403.705495605469,59.25095287057291,13.68000030517578,14.210000038146973,53.11000061035156,1
